"","Word","freq"
"219","RELL1",1
"220","REXO1L2P,REXO1L2P",1
"221","RFPL4B,LOC101927686",1
"222","RGCC,VWA8",1
"223","RHOB,HS1BP3-IT1",1
"224","RHPN1,MAFA-AS1",1
"225","RIN2,NAA20",1
"226","RNA18S5",3
"227","RNA18S5,RNA45S5",2
"228","RNA28S5",13
"229","RNA28S5,RNA45S5",19
"230","RNA45S5,MIR3648-1",1
"231","RNA45S5,RNA5-8S5",2
"232","RNA5-8S5",4
"233","RNA5-8S5,NONE",12
"234","RNF220",1
"235","ROCK1P1",1
"236","ROCK2",1
"237","RPRM,GALNT13",1
"238","RUNDC3B",1
"239","RUNX1,LOC100506403",1
"240","SAMD12-AS1,TNFRSF11B",1
"241","SCARA5",1
"242","SDK2",1
"243","SETBP1,SLC14A2",1
"244","SH3BGRL,POU3F4",1
"245","SH3PXD2B,NEURL1B",1
"246","SHOX,CRLF2",1
"247","SIL1",1
"248","SIRT4,PLA2G1B",1
"249","SLC17A1",1
"250","SLC8A1,LOC388942",1
"251","SLIT1",1
"252","SLIT3",1
"253","SLIT3,SPDL1",1
"254","SMCR5",1
"255","SMOC2",1
"256","SMYD3",1
"257","SNED1",1
"258","SNX16,LINC01419",1
"259","SOX9,LINC00673",1
"260","SPATA18,USP46",1
"261","STAG1",1
"262","STIM2,LOC101929199",1
"263","TBC1D12",1
"264","TBC1D22A,LL22NC03-75H122",1
"265","TBX22,CHMP1B2P",1
"266","TCEA1",1
"267","TCERG1L",1
"268","TCL1A,TUNAR",1
"269","TCN2",1
"270","TEKT4P2,MGC39584",1
"271","TEX41,PABPC1P2",1
"272","TFAP2C,BMP7",1
"273","THAP4",1
"274","TIAM2",1
"275","TIE1",1
"276","TLK2,MRC2",1
"277","TMEM125",1
"278","TMEM132D",1
"279","TP53TG3HP,FLJ26245",1
"280","TPST1",1
"281","TRIML1,LINC01060",1
"282","TTTY23B,GYG2P1",1
"283","UBE2O",1
"284","USP54,MYOZ1",1
"285","UST",1
"286","UTRN",2
"287","UVRAG,WNT11",1
"288","WDR72",1
"289","WIPI2,SLC29A4",1
"290","WWP2",1
"291","x",1
"292","XPO6,SBK1",1
"293","XRCC3",1
"294","XXYLT1",1
"295","ZBED5-AS1,GALNT18",1
"296","ZNF354C,ADAMTS2",1
"297","ZSWIM4,LOC284454",1
