"","txtChar","Freq"
"258","MIR7641-2,RNA5S1,RNA5S10,RNA5S11,RNA5S12,RNA5S13,RNA5S14,RNA5S15,RNA5S16,RNA5S17,RNA5S2,RNA5S3,RNA5S4,RNA5S5,RNA5S6,RNA5S7,RNA5S8",1
"259","MLKL",1
"260","MON1A",1
"261","MRAP2",1
"262","MRPL17",1
"263","MRPL30",1
"264","MRPL41",1
"265","MRPS15",1
"266","MRPS35",1
"267","MST1P2",1
"268","MXI1",1
"269","MYHAS",1
"270","MYLK4",1
"271","MYO6",1
"272","NAGS",1
"273","NBEA",1
"274","NCOA7",1
"275","NDRG1",1
"276","NEGR1",1
"277","NGF",1
"278","NKX2-1",1
"279","NLRP2",1
"280","NPIPA5",1
"281","NPLOC4",1
"282","NSUN2",1
"283","NT5C3B",1
"284","NTRK3",1
"285","NUTM2A-AS1",1
"286","ODF2L",1
"287","OR13C8",1
"288","OR2T34",2
"289","ORC3",1
"290","ORM1",1
"291","P2RX3",1
"292","PABPN1L",1
"293","PAOX",1
"294","PATE2",1
"295","PCSK6",1
"296","PDCD2L",1
"297","PDE6G",1
"298","PDHB",2
"299","PDZD4",1
"300","PDZRN3",1
"301","PDZRN3-AS1",1
"302","PELP1",1
"303","PFKL",1
"304","PGF",1
"305","PHYHIP",1
"306","PIP5KL1",1
"307","PLAC1",1
"308","PLCH1",1
"309","PMS2P9",1
"310","POLR3GL",1
"311","PPP2R2C",1
"312","PRKCE",1
"313","PRPF19",1
"314","PRSS55",1
"315","PSG1",1
"316","PSMD3",1
"317","PTGER4",1
"318","PTGES3",1
"319","PTMS",1
"320","PTPRZ1",1
"321","PXMP4",1
"322","RAB11FIP2",1
"323","RAB37",1
"324","RASSF3",1
"325","RCN1",1
"326","REXO1L2P",1
"327","RFPL2",1
"328","RFPL4B",1
"329","RGS14",1
"330","RMST",1
"331","RNA28S5,RNA45S5",4
"332","RNA5-8S5",1
"333","RNMT",1
"334","RNU2-1",1
"335","RNU6-1,RNU6-2,RNU6-7,RNU6-8,RNU6-9",1
"336","RNVU1-15",1
"337","RPGR",1
"338","RPL36AL",1
"339","RRAD",1
"340","RTTN",2
"341","RUFY4",1
"342","S100A10",1
"343","S100A6",1
"344","SBNO1",1
"345","SEC24A",1
"346","SELE",1
"347","SELL",1
"348","SEMA6C",1
"349","SEPHS1",1
"350","SERPINH1",1
"351","SGK2",1
"352","SH3TC2",1
"353","SHB",1
"354","SHFM1",1
"355","SLC16A12",1
"356","SLC25A6",1
"357","SLC37A2",1
"358","SLC6A16",1
"359","SMCO4",1
"360","SMG9",1
"361","SMURF2",1
"362","SNAR-A10,SNAR-A11,SNAR-A14,SNAR-A3,SNAR-A4,SNAR-A5,SNAR-A6,SNAR-A7,SNAR-A8,SNAR-A9",2
