"","txtChar","Freq"
"1","ADRB3",1
"2","AHSG",1
"3","ANKRD60",1
"4","B4GALT1",1
"5","C1orf109",1
"6","C5orf47",1
"7","CA5A",1
"8","CABIN1",1
"9","CASQ2",1
"10","CBS",1
"11","CBWD2",1
"12","CHEK2P2",1
"13","COX6A2,ITGAD",1
"14","CPB1",1
"15","CPT1A",1
"16","CTAGE10P",1
"17","CYP20A1",1
"18","DLX1",1
"19","FAM129A",1
"20","FAM3D",1
"21","FAM81A",1
"22","FAM95A",1
"23","FBXO18",1
"24","FBXO38",1
"25","FIGN",1
"26","FNDC5",1
"27","GCNT1",1
"28","HDDC2",1
"29","INO80",1
"30","LINC00162",1
"31","LINC00174",1
"32","LINC00396",1
"33","LINC00866",1
"34","LINC00974",1
"35","LINC01006",1
"36","LINC01335",1
"37","LINC01626",1
"38","LOC100506178",1
"39","LOC100507412",3
"40","LOC100996385",1
"41","LOC102724096",1
"42","LOC441025",1
"43","LRRC38",1
"44","MAFG-AS1",1
"45","MAGEB3",1
"46","MAP1A",1
"47","MAPK11",1
"48","MIR6724-1,MIR6724-2,MIR6724-3,MIR6724-4",1
"49","MUSTN1,TMEM110-MUSTN1",1
"50","MYO18B",1
"51","N4BP1",1
"52","NAA15",1
"53","NYAP1",1
"54","OR11A1",1
"55","OR7E24",1
"56","PBK",1
"57","PDX1",1
"58","PLCD3",1
"59","PLEKHB1",1
"60","PLEKHM1P1",1
"61","POTED",1
"62","PRCC",1
"63","R3HDML",1
"64","REN",1
"65","REV3L",1
"66","RHOT2",1
"67","RNF180",1
"68","SLC35D3",1
"69","SLC47A1",1
"70","SNF8,UBE2Z",1
"71","SNHG5",1
"72","SNORD116-24",1
"73","THG1L",1
"74","TMBIM6",1
"75","TMED10",1
"76","TMEM141",1
"77","TOMM40",1
"78","TRIM56",1
"79","TSGA10IP",1
"80","WNT4",1
