"","V1","V2","V3","V4","V5","V6"
"KIAA1755",0,0,0,0,0,1
"MIR557",0,0,0,0,0,1
"SPRR3",0,0,0,0,0,1
"PRR25",0,0,0,0,0,1
"BNC1",0,0,0,0,0,1
"REPIN1",0,0,0,0,0,1
"SNORD114.7",0,0,0,0,0,1
"ACCS",0,0,0,0,0,1
"CAPG",0,0,0,0,0,1
"OR2A14",0,0,0,0,0,1
"DKFZp451B082",0,0,0,0,0,1
"PARP15",0,0,0,0,0,1
"TUBD1",0,0,0,0,0,1
"SH3PXD2B",0,0,0,0,0,1
"COMMD7",0,0,0,0,0,1
"ADGRG3",0,0,0,0,0,1
"TMEM201",0,0,0,0,0,1
"HEXIM1",0,0,0,0,0,1
"PROCR",0,0,0,0,0,1
"NTRK2",0,0,0,0,0,1
"NTRK3",0,0,0,0,0,1
"ZSCAN16.AS1",0,0,0,0,0,1
"ESRP1",0,0,0,0,1,0
"HMHB1",0,0,0,0,0,2
"OSGEPL1.AS1",0,0,0,0,0,1
"PHGR1",0,0,0,0,0,1
"SAMD3",0,0,0,0,0,1
"PROCA1.SUPT6H",0,0,0,1,0,0
"PPFIA4",0,0,0,0,0,1
"CDK2AP1",0,0,0,0,0,1
"LINC01010",0,0,0,0,0,1
"BTBD9",0,0,0,0,0,1
"LINC00189",0,0,0,0,0,1
"MIR329.2",0,0,0,0,0,1
"ARAP3",0,0,0,0,0,1
"BRAP",0,0,0,1,0,0
"FABP1",0,0,0,0,1,0
"LINC00379",0,0,0,0,0,1
"HLA.DMB",0,0,0,0,0,1
"KRT16P2",0,0,0,0,0,1
"PHLDB1.TREH",0,0,0,0,0,1
"TNFRSF10D",0,0,0,0,0,1
"DDX11",0,0,0,0,0,1
"NPBWR1",0,0,0,0,0,1
"TAC1",0,0,0,0,0,1
"RGS6",0,0,0,0,1,0
"NPBWR2",0,0,0,0,0,1
"FAT2",0,0,0,0,0,1
"ADRA1D",0,0,0,0,0,1
"DYDC1",0,0,0,0,0,1
"PKHD1",0,0,0,0,0,1
"PQLC3",0,0,0,0,0,1
"JAK3",0,0,0,0,0,1
"LOC100130370",0,0,0,0,0,1
"IL18RAP",0,0,0,0,0,1
"NAAA",0,0,0,0,0,1
"SLC22A25",0,0,0,0,0,1
"KIRREL3",0,0,0,0,0,1
"SNAR.A12.SNAR.A13",0,0,0,0,0,1
"UBE3C",0,0,0,0,0,1
"SLC4A8",0,0,0,0,1,0
"NOX4",0,0,0,0,0,1
"SMCO1",0,0,0,0,0,1
"DPEP2",0,0,0,0,0,1
"DPEP3",0,0,0,0,0,1
"VWA1",0,0,0,0,0,1
"WNT11",0,0,0,0,0,1
"CRY2",0,0,0,0,0,1
"HBEGF",0,0,0,0,0,1
"TUBA1A",0,0,0,0,0,1
"CDK15",0,0,0,0,0,1
"RAD51.AS1",0,0,0,0,0,1
"RHBDD1",0,0,0,0,0,1
"BRD9",0,0,0,0,0,1
"ETNK1",0,0,0,0,0,1
"BNIP2",0,0,0,0,0,1
"SNTN",0,0,0,0,0,1
"CWC15",0,0,0,0,0,1
"LINC00359",0,0,0,0,0,1
"SLC45A2",0,0,0,0,0,1
"MIR3670.1.MIR3670.2.MIR3670.3.MIR3670.4",0,0,0,1,0,0
"SPTB",0,0,0,0,0,1
"AGPAT4",0,0,0,0,0,1
"GPR4",0,0,0,0,0,1
"SNORD3A",0,0,0,0,1,0
"AZGP1P1",0,0,0,1,0,0
"PODN",0,0,0,0,0,1
"MIR892A",0,0,0,0,0,1
"DNAJC15",0,0,0,0,0,1
"IGSF9",0,0,0,0,1,0
"PLEKHF1",0,0,0,0,0,1
"FMO5",0,0,0,0,0,1
"C1orf109",0,0,0,0,0,1
"SLC15A5",0,0,0,0,0,1
"MYBL2",0,0,0,0,1,0
"NOVA2",0,0,0,0,0,1
"SLC35F3",0,0,0,0,0,1
"RNVU1.19",0,0,0,0,0,1
"TAF1",0,0,0,0,0,1
"TIA1",0,0,0,0,0,1
"ENDOU",0,0,0,0,0,1
"XAGE1B.XAGE1E",0,0,0,0,0,2
"KRT77",0,0,0,0,0,1
"VAPA",0,0,0,0,0,1
"TUBA3C",0,0,0,0,0,1
"ELK4",0,0,0,0,0,1
"ZNF311",0,0,0,0,0,1
"NPDC1",0,0,0,0,0,1
"GDAP1L1",0,0,0,0,0,2
"LOC101929420",0,0,0,0,0,1
"PMS2P9",0,0,0,1,0,0
"LINC01201",0,0,0,0,0,1
"FRGCA.LOC106780825",0,0,0,0,0,1
"WEE1",0,0,0,0,0,1
"C4orf32",0,0,0,0,0,1
"KRT82",0,0,0,0,0,1
"USP6",0,0,0,0,0,1
"MIR4770",0,0,0,0,0,1
"PDCD1",0,0,0,0,0,1
"ANP32B",0,0,0,0,0,1
"SPG21",0,0,0,0,0,1
"STK4.AS1",0,0,0,0,0,1
"MSRB1",0,0,0,1,0,0
"CDPF1.PPARA",0,0,0,0,1,0
"ELL2",0,0,0,0,0,1
"MIR4778",0,0,0,0,0,1
"TMEM72.AS1",0,0,0,0,0,1
"EFHD1",0,0,0,0,0,1
"ATHL1",0,0,0,0,0,1
"ST6GAL2",0,0,0,0,0,1
"ALG12",0,0,0,0,0,1
"CPNE2",0,0,0,0,0,1
"LINC00535",0,0,0,0,0,1
"OR2T1",0,0,0,0,0,1
"RAMP2",0,0,0,0,0,1
"LOC101929413",0,0,0,0,0,1
"TST",0,0,0,0,0,1
"MIR5700",0,0,0,0,0,1
"CXorf23",0,0,0,0,0,1
"SCARB1",0,0,0,0,0,1
"ZNF708",0,0,0,0,0,1
"HS6ST1",0,0,0,0,0,1
"FDFT1",0,0,0,0,0,1
"NXF2.NXF2B",0,0,0,0,0,1
"MAFA.AS1",0,0,0,0,0,1
"LRP5L",0,0,0,0,0,1
"LINC00965",0,0,0,0,0,1
"LONRF1",0,0,0,0,0,1
"ZNF717",0,0,0,0,0,1
"LINC00323",0,0,0,1,0,0
"LILRB4",0,0,0,0,0,1
"ZNF33A",0,0,0,0,0,1
"USP25",0,0,0,0,0,1
"GEN1",0,0,0,0,0,1
"RSBN1",0,0,0,0,0,1
"RGS11",0,0,0,0,0,1
"SNORD115.35",0,0,0,0,0,1
"ORC1",0,0,0,0,0,1
"UBE2E2",0,0,0,0,0,1
"VTN",0,0,0,0,0,1
"TSPAN17",0,0,0,0,0,1
"CASC10",0,0,0,0,0,1
"MTTP",0,0,0,0,0,1
"FLCN",0,0,0,0,0,1
"MORN3",0,0,0,0,0,1
"TMCO3",0,0,0,0,0,1
"MORN4",0,0,0,0,0,1
"OR6T1",0,0,0,0,0,1
"TESC.AS1",0,0,0,0,0,1
"NAT8B",0,0,0,0,0,1
"TSPY10.TSPY3",0,0,0,0,1,0
"CBWD1",0,0,0,0,0,1
"CASC19",0,0,0,0,0,1
"STX2",0,0,0,0,0,1
"CCDC117",0,0,0,0,0,1
"SERINC3",0,0,0,0,0,2
"RGS20",0,0,0,0,0,1
"SLC36A1",0,0,0,0,0,1
"LOC646522",0,0,0,0,1,1
"SPACA5.SPACA5B",0,0,0,0,0,1
"ZCCHC24",0,0,0,0,0,1
"MEX3D",0,0,0,0,0,1
"YTHDF2",0,0,0,0,0,1
"SAFB2",0,0,0,1,0,0
"PPP1R15B",0,0,0,0,0,1
"HOXC13.AS",0,0,0,0,0,1
"FAH",0,0,0,0,0,1
"SPATA6L",1,0,0,0,0,0
"MIS18A",0,0,1,0,0,1
"CECR1",0,0,0,0,0,1
"CECR2",0,0,0,0,0,2
"S100A7",0,0,0,0,0,1
"PCSK9.USP24",0,0,0,0,0,1
"CCDC124",0,0,0,0,0,1
"FLJ35934",0,0,0,0,0,1
"MBD2",0,0,0,0,0,1
"RGPD3",0,0,0,0,0,1
"PRDM11",0,0,0,0,0,2
"LINC01391",0,0,0,0,0,1
"OR10A2",0,0,0,0,0,1
"ATP2A3",0,0,0,0,0,1
"SHISA7",0,0,0,0,1,0
"PNLIP",0,0,0,0,0,1
"TNS4",0,0,0,0,1,0
"ACP5",0,0,0,0,0,1
"ZCCHC16",0,0,0,0,0,1
"ZBTB2",0,0,0,0,0,1
"WNT2",0,0,0,0,0,1
"GABARAPL2",0,0,0,0,0,1
"MIR6723",0,0,0,0,0,12
"RNF187",0,0,0,1,0,0
"LOC729970",0,0,0,0,0,1
"PIBF1",0,0,0,0,0,1
"NAIP",0,0,0,0,0,1
"C1orf174",0,0,0,0,0,1
"DUSP13",0,0,0,0,0,1
"KRT42P",0,0,0,0,0,1
"CCDC138",0,0,0,0,0,1
"ZNF563",0,1,0,0,0,0
"HMOX1",0,1,0,0,0,0
"B3GAT1",0,0,0,0,0,1
"LDLRAP1",0,0,0,0,0,1
"LINC01179",0,0,0,0,0,1
"LCA10",0,0,0,0,0,1
"KIAA0355",0,0,0,0,0,1
"EPHB1",0,0,0,0,0,1
"UBR2",0,0,0,0,0,1
"SDF4",0,0,0,0,0,1
"LHFPL4",0,0,0,0,0,1
"PHC2",0,0,0,0,0,1
"CYMP",0,0,0,0,0,1
"LOC100272216",0,1,0,0,0,0
"NCK2",0,0,0,0,0,1
"PARP3",0,0,0,0,0,1
"ACPT",0,0,0,0,1,0
"ZNF575",0,0,0,0,1,0
"LOC100507534",0,0,0,0,0,1
"IRF1",0,0,0,0,0,1
"SKAP1",0,0,0,0,1,0
"SORBS1",0,0,0,0,0,1
"SSX4.SSX4B",0,0,0,0,0,1
"CYB5R2",0,0,0,0,0,1
"PILRB.STAG3L5P.PVRIG2P.PILRB",0,0,0,0,0,1
"IRF2",0,0,0,0,0,1
"HEATR3",0,0,0,0,0,1
"ARFGEF1.CSPP1",0,0,0,0,0,1
"PNPLA2",0,0,0,0,0,1
"PAX2",0,0,0,1,0,0
"LINC00900",0,0,0,0,0,1
"LRRTM4",0,0,0,0,0,1
"SRRM1",0,0,0,0,0,1
"SPTA1",0,0,0,0,0,1
"SNORD115.6",0,0,0,0,1,0
"ACSM2A",0,0,0,0,0,1
"CST7",0,0,0,0,0,1
"CD99L2.MTMR1",0,0,0,0,0,1
"ABCC5",0,0,0,0,0,1
"FUT2",0,0,0,0,0,1
"ABCC6",0,0,0,0,0,1
"BTN3A2",0,0,0,0,0,1
"FPGT.TNNI3K.TNNI3K",1,0,0,0,0,0
"KIAA1644",0,0,0,0,0,1
"YIPF1",0,0,0,0,0,1
"GOLGA5",0,0,0,1,0,0
"LOC284661",0,0,0,1,0,1
"FAM27B",0,0,0,0,0,1
"C5orf46",0,0,0,0,0,1
"ARHGEF3",0,0,0,0,0,1
"CYB5RL",0,0,0,0,0,1
"CARD10",0,0,0,0,0,1
"AFAP1L1",0,0,0,0,0,1
"PKNOX1",0,0,0,0,0,1
"MUL1",0,0,0,0,1,0
"CARD11",0,0,0,0,0,1
"LOC388282",0,0,0,0,0,1
"MIR4689.NPHP4",0,0,0,0,1,0
"PPP1R9B",0,0,0,0,1,0
"KMT5B",0,0,0,0,0,1
"POMT2",0,0,0,0,0,1
"LOC286238",0,0,0,0,0,1
"UBTF",0,0,0,0,0,1
"LINC00499",0,0,0,0,0,1
"KCNB2",0,0,0,0,0,1
"REXO1L2P",0,0,0,0,0,1
"DBET",0,0,0,0,0,1
"LUCAT1",0,0,0,1,0,0
"CAB39",0,0,0,0,0,1
"C10orf71",0,0,0,0,0,1
"LAMP5.AS1",0,0,0,0,0,2
"STIP1",0,0,0,0,0,1
"MIR1265",0,0,0,0,0,1
"PBXIP1",0,0,0,0,0,1
"ITGA2.MOCS2",0,0,0,0,0,1
"RHPN1.AS1",0,0,0,0,0,1
"RNA28S5.RNA45S5",0,0,0,0,0,1
"AHCTF1",0,0,0,0,0,1
"LCE2A",0,0,0,0,0,1
"FAM181A",0,0,0,0,0,1
"PKNOX2.AS1",0,0,0,0,0,1
"PTGDR",0,0,0,0,0,1
"RNA5.8S5",0,0,0,1,0,1
"ISCA1",0,0,0,0,0,1
"OBP2A",0,0,0,0,0,1
"MYD88",0,0,0,0,1,0
"DOCK1",0,0,0,0,0,1
"FAM19A5",0,0,0,0,0,1
"BCL9",0,0,0,0,0,1
"SNAR.A10.SNAR.A11.SNAR.A14.SNAR.A3.SNAR.A4.SNAR.A5.SNAR.A6.SNAR.A7.SNAR.A8.SNAR.A9",0,0,0,0,0,1
"RBFOX2",0,0,0,0,0,1
"OTUD3",0,0,0,0,0,1
"MFSD6L",0,0,0,0,0,1
"MAGED1",0,0,0,0,0,1
"MYL2",0,0,0,0,0,1
"UTP18",0,0,0,0,0,1
"G6PC3.HDAC5",0,0,0,0,0,1
"XRCC6BP1",0,0,0,0,0,1
"KCND1",0,0,0,0,0,1
"GTF2B",0,0,0,0,1,0
"LAMTOR2",0,0,0,0,0,1
"LCE3C",0,0,0,0,0,2
"LINC01119",0,0,0,0,0,1
"RAB42",0,0,0,0,0,1
"RRN3P2",0,0,0,0,0,1
"PLEC",0,0,0,0,0,1
"C10orf53",0,0,0,0,0,1
"TTLL13P",0,0,0,0,0,1
"ZFAND3",0,0,0,0,0,1
"LOC101927587",0,0,0,0,0,1
"GUSB.VKORC1L1",0,0,0,0,0,1
"SLAMF6",0,0,0,0,0,1
"ABCG8",0,0,0,0,0,1
"RSPO4",0,0,0,0,0,1
"KCNE1",0,0,0,0,0,1
"GORASP2",0,0,0,0,0,1
"NEB",0,0,0,0,0,1
"CDHR3",0,0,0,0,0,1
"TARP",0,0,0,0,0,1
"ZNF71",0,0,0,0,0,1
"UPP1",0,0,0,0,1,0
"CD46",0,0,0,0,0,1
"IL17B",0,0,0,0,0,1
"INSL6",0,0,0,0,0,1
"BAIAP2L2",0,0,0,0,1,0
"UPP2",0,0,0,0,0,1
"ZC3HAV1L",0,0,0,0,0,1
"CUX1",0,0,0,0,0,1
"CSRP1",0,0,0,0,0,1
"TSHB",0,0,0,0,0,1
"CSRP2",0,0,0,0,1,0
"LOC285766",0,0,0,0,0,1
"DEFB130.LOC100133267",0,0,0,0,0,2
"LOC101929124",0,0,0,0,0,1
"MIR6724.1.MIR6724.2.MIR6724.3.MIR6724.4",0,0,0,0,0,1
"ZNF205",0,0,0,0,0,1
"LINC00269",0,0,0,0,0,1
"ABHD14A.ACY1.ACY1",0,0,0,0,0,1
"BCAS3.TBX2.AS1",0,0,0,0,0,1
"MLYCD",0,0,0,0,0,1
"LOC102723617",0,0,0,0,0,1
"B4GALT7",0,0,0,0,0,1
